name,address,lat,lng,wifi,allHours,drive,hundred,morning,barista,birthday,playRand,adventure,parking
豊栄ベイシア店,新潟県新潟市北区かぶとやま２－２－５２,37.9289024737,139.220809381,1,0,1,0,1,0,0,0,0,1
４９号横越店,新潟県新潟市江南区横越上町５－４９４－１,37.8493867796,139.143273046,1,0,1,0,1,0,0,0,0,1
新潟駅南店,新潟県新潟市中央区笹口２－７－１,37.9097362197,139.065118938,1,1,1,1,1,0,0,0,0,1
リバーサイド千秋店,新潟県長岡市千秋２丁目２７８番地,37.4611261763,138.827486542,0,0,0,1,0,0,0,0,0,1
イオンモール新潟南店,新潟県新潟市江南区下早通柳田１－１－１,37.8761900218,139.081759226,1,0,0,0,0,0,0,0,0,1
河渡コメリ店,新潟県新潟市東区河渡庚３６６,37.9331112716,139.104943565,1,1,1,0,1,0,0,0,0,1
１１６新潟坂井店,新潟県新潟市西区坂井字村上７０９－２,37.8658459935,138.952579676,1,1,1,0,1,0,0,0,0,1
７号線新発田店,新潟県新発田市中田町３丁目１２８１－１,37.9594961196,139.339751729,1,0,1,0,1,0,0,0,0,1
五泉店,新潟県五泉市太田９３３番地１,37.7435355908,139.188665093,1,0,1,0,1,0,0,0,0,1
上越高田西店,新潟県上越市大字飯字沢田７８９－１,37.1228704172,138.232019525,1,1,1,0,1,0,0,0,0,1
８号線白根店,新潟県新潟市南区上下諏訪木６３８－１,37.7587993453,139.016295133,0,0,1,0,1,0,0,0,0,1
８号線燕三条店,新潟県三条市下須頃１９４－１,37.6402332325,138.940313083,0,1,1,1,1,1,0,0,0,1
新潟万代店,新潟県新潟市中央区万代４－５－９,37.9189349362,139.057361717,1,1,1,1,1,1,0,0,0,1
新潟亀貝店,新潟県新潟市西区亀貝字堤６８９,37.8659101082,138.98121576,1,0,1,0,1,0,0,0,0,1
富山インター店,富山県富山市掛尾町５４３,36.6629103271,137.21007964,0,1,1,1,1,0,0,1,0,1
高岡店,富山県高岡市木町５－２４,36.7617566292,137.012217454,1,1,1,1,1,0,1,1,1,1
下赤江店,富山県富山市下赤江町１丁目窪田２９－１,36.7166613773,137.233494064,1,0,1,1,1,0,0,0,1,1
呉羽店,富山県富山市茶屋町字向開５７０－１,36.7087247017,137.175434793,0,0,1,0,1,0,0,0,0,1
小杉アルプラザ店,富山県射水市三ケ２６０２,36.7198143936,137.093784923,0,0,0,0,0,0,0,0,0,1
富山中川原店,富山県富山市中川原字川原田割３７２－１,36.6748523803,137.246650102,0,0,1,0,1,0,0,0,0,1
８号線入善店,富山県下新川郡入善町椚山１２１０,36.9404688524,137.515774898,1,0,1,0,1,0,0,0,0,1
富山東アピタ店,富山県富山市上冨居３－８－３８,36.7085958287,137.24074624,1,0,0,0,0,0,0,0,0,1
上市ガイナシティ店,富山県中新川郡上市町正印２５７,36.6998363517,137.341013275,0,0,0,0,0,0,0,0,0,1
